response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.316666658,0.035185178,1,0,0,targImage,,,,,,,2.5554,-0.375,c,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.376851844,0.0324074,1,0,0,targImage,,,,,,,1.4444,-0.375,c,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.151851841,0.028703697,1,0,0,targImage,,,,,,,1,-0.125,v,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.346296288,0.042592586,1,0,0,targImage,,,,,,,2.7776,-0.375,c,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,-0.341666659,0.057407401,1,0,0,targImage,,,,,,,2.3332,-0.375,c,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,-0.328703695,0.060185179,1,0,0,targImage,,,,,,,2.9998,-0.375,c,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.158333322,0.036111076,1,0,0,targImage,,,,,,,1.4444,-0.125,v,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.08055557,0.027777771,1,0,0,targImage,,,,,,,1.2222,0.125,b,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.12314808,0.014814808,1,0,0,targImage,,,,,,,1.8888,-0.125,v,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.176851868,-0.010185193,1,0,0,targImage,,,,,,,1.6666,0.125,b,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,14,1,39
